variable,count,mean,median,std,min,q25,q75,max,iqr
work_hours,92949,6.94323966189344,7.75,3.3477087291183807,0.0166666666666666,4.833333333333333,9.0,20.566666666666663,4.166666666666667
sleep_hours,92949,8.010854160166685,8.0,1.8340790344480387,0.0166666666666666,7.0,9.0,23.8,2.0
waking_hours,92949,15.989145839833315,16.0,1.8340790344480387,0.1999999999999993,15.0,17.0,23.983333333333334,2.0
capacity_proxy,92949,0.4638450995542833,0.5108695652173914,0.21505421523223162,0.0009033423667569,0.3352468427095293,0.609375,0.9056603773584904,0.2741281572904707
